Projeto;Autor;Autor_isolado;Ementa;Assunto;Indicado_por;Quem_avaliou;Qual_avaliacao;Tem_outros_autores;Situacao;Analise
PLS 384/2016;Senador José Agripino Maia – DEM/RN;JOSÉ AGRIPINO MAIA;;;;CPT;Desfavorável;;Matéria com a relatoria.;PLS é uma tentativa de ocupação e exploração econômica legalizada das áreas de Assentamentos Rurais de Reforma Agrária pelo grande capital nacional e internacional. A possibilidade de contratos entre o grande capital e os assentados de reforma agrária para exploração de energia subverte os objetivos da luta pela terra e da conquista de áreas para a produção de alimentos. 
PLP 135/2000;Poder Executivo;#VALOR!;;;;CPT;Desfavorável;;Pronta para Pauta no Plenário.;O projeto de lei complementar objetiva dificultar a realização da reforma agrária, ao retirar da esfera federal e autorizar que os Estados e Distrito Federal passem a legislar sobre o tema. Como boa parte da administração dos estados geralmente é alvo de forte influência dos ruralistas, estes teriam mais poderes para barrar os atos de desapropriação de terras para os assentamentos rurais. 
PL 6427/2016;Poder Executivo;PODER EXECUTIVO;;;;CPT;Desfavorável;;Pronta para Pauta no Plenário;"O projeto objetiva rever a concessões de auxílio doença e aposentadoria por invalidez do trabalhador rural que goza do direito há mais de dois anos; dificultar o acesso a esses direitos; e reencaminhar o trabalhador rural aposentado por invalidez para outra função laboral, como expresso no artigo 62: “... O assegurado em gozo de auxílio doença, insusceptível de recuperação para sua atividade habitual, deverá submeter-se a processo de reabilitação profissional”."
MP 276/2016;Presidência da República;#VALOR!;;;;CPT;Desfavorável;;Convertida;MP veio no bojo da MP 726/2016 que extinguiu o Ministério de Igualdade Racial e do Ministério de Desenvolvimento Agrário. Visa impossibilitar a demarcação de terras quilombolas ao transferir, estrategicamente, tal atribuição para Ministério da Educação e Cultura, retirando-a do Instituto Nacional de Colonização e Reforma Agrária (INCRA), único órgão que possui infraestrutura e experiência nas demarcações.
MP 733/2016;Presidência da República – Poder Executivo;PRESIDÊNCIA DA REPÚBLICA;;;;CPT;Desfavorável;;Em negociação. ;A presidência da República e o Ministério da Agricultura e Pecuária atuam diretamente em negociações que atacam o orçamento público. Planejam perdoar as dívidas dos proprietários rurais que se aproxima de 1 trilhão de reais, segundo dados da Procuradoria Geral da Fazenda. São 4.013 pessoas físicas e jurídicas com dívidas acima de 50 milhões de reais. Evidentemente, dado esse montante por pessoa, não são os pequenos proprietários os devedores. O governo planeja dar bônus de 60% a 95% para quitação de dívidas, isenção de impostos e perpetuar o Imposto Territorial Rural (ITR) como uma fantasia. Em um só tempo, privilegia-se os grandes latifúndios e limita a realização da Reforma Agrária. 
PL 6968/2013 ;Professora Dorinha Seabra Rezende (DEM-TO);PROFESSORA DORINHA SEABRA REZENDE;Altera a Lei nº 9.394, de 20 de dezembro de 1996, que estabelece as diretrizes e bases da educação nacional, para dispor sobre o estabelecimento de indicadores de padrão mínimo de qualidade para a educação do campo, indígena e quilombola. ;Critérios para avaliação das escolas no campo;Observatório da Criança e do Adolescente;;;;;
PL 7594/2017 ;João Daniel (PT-SE);JOÃO DANIEL;Altera a Lei nº 8.072, de 25 de julho de 1990, para considerar hediondo o crime de homicídio, lesão corporal dolosa de natureza gravíssima e lesão corporal seguida de morte quando praticadas contra Agricultoras e Agricultores Familiares, Trabalhadoras e Trabalhadores Rurais, Indígenas, Quilombolas e outras pessoas pertencentes Comunidades Tradicionais. ;Torna crime hediondo assassinato de pessoa de população tradicional;Observatório da Criança e do Adolescente;;;;;
PL 8660/2017 ;Aureo (SD/RJ);AUREO;Aumenta o limite dos recursos financeiros utilizados na alimentação escolar com gênero alimentícios oriundos da agricultura familiar, comunidades de quilombo e de grupos indígenas (Mais Agricultura) ;Aumenta participação da agricultura familiar nas merendas escolares;Observatório da Criança e do Adolescente;;;;;
PL 304/2015 ;Valmir Assunção (PT/BA);VALMIR ASSUNÇÃO;Altera os artigos 3º, 24, 26 e 36, da Lei nº 9.394, de 20 de Dezembro de 1996, que institui nos currículos escolares do ensino fundamental, conhecimento sobre a língua, usos, costumes e a cultura dos povos e comunidades tradicionais e minorias éticas formadores dos povos brasileiro.;Inclui no currículo escolar o estudo da cultura das comunidades tradicionais;Observatório da Criança e do Adolescente;;;;;
PL 6119/2016 ;Nilto Tatto (PT/SP);NILTO TATTO;Altera os artigos 6o e 185 do Código de Processo Penal.;Dispõe sobre tratamento dispensado a indígena envolvido em infração penal. ;Observatório da Criança e do Adolescente;;;;;
PEC 48/2007;Rogério Lisboa (PFL/RJ);ROGÉRIO LISBOA;Altera o art. 228 da Constituição Federal.;Reduz a idade penal para 16 (dezesseis) anos, considerando os maiores de dezesseis anos imputáveis penalmente.;Observatório da Criança e do Adolescente;;;;;
PL 7511/2014;Laercio Oliveira (SD/SE);LAERCIO OLIVEIRA;;altera para oito anos a idade para obtenção da bolsa-atleta;Fundação Abrinq;Fundação Abrinq;Desfavorável;;;
PL 5162/2016;Pepe Vargas (PT/RS);PEPE VARGAS;;permite menores-aprendizes no campo;;Fundação Abrinq;Favorável;;;
PEC 45/2013;Acir Gurgacz;ACIR GURGACZ;;;;CPT;Desfavorável;Sim;Matéria com a Relatora;O ano de 2012 foi marcado por muitas ações indígenas para garantir seus territórios, por isso, essa PEC, inspirada pela MP anti-invasão, tenta parar o processo de reconhecimento de terras indígenas em áreas onde ocorram ocupações. Essas áreas não seriam “objeto de estudo, delimitação, homologação, regularização ou criação de terras indígenas nos dois anos seguintes à sua ocupação”. E numa tacada só, a PEC prevê punição por “responsabilidade civil e administrativa” para o funcionalismo público que não seguir essa possível nova Lei.
PEC 45/2013;Aloysio Nunes Ferreira;ALOYSIO NUNES FERREIRA;;;;CPT;Desfavorável;Sim;Matéria com a Relatora;O ano de 2012 foi marcado por muitas ações indígenas para garantir seus territórios, por isso, essa PEC, inspirada pela MP anti-invasão, tenta parar o processo de reconhecimento de terras indígenas em áreas onde ocorram ocupações. Essas áreas não seriam “objeto de estudo, delimitação, homologação, regularização ou criação de terras indígenas nos dois anos seguintes à sua ocupação”. E numa tacada só, a PEC prevê punição por “responsabilidade civil e administrativa” para o funcionalismo público que não seguir essa possível nova Lei.
PEC 45/2013;Alvaro Dias;ALVARO DIAS;;;;CPT;Desfavorável;Sim;Matéria com a Relatora;O ano de 2012 foi marcado por muitas ações indígenas para garantir seus territórios, por isso, essa PEC, inspirada pela MP anti-invasão, tenta parar o processo de reconhecimento de terras indígenas em áreas onde ocorram ocupações. Essas áreas não seriam “objeto de estudo, delimitação, homologação, regularização ou criação de terras indígenas nos dois anos seguintes à sua ocupação”. E numa tacada só, a PEC prevê punição por “responsabilidade civil e administrativa” para o funcionalismo público que não seguir essa possível nova Lei.
PEC 45/2013;Antonio Carlos Rodrigues;ANTONIO CARLOS RODRIGUES;;;;CPT;Desfavorável;Sim;Matéria com a Relatora;O ano de 2012 foi marcado por muitas ações indígenas para garantir seus territórios, por isso, essa PEC, inspirada pela MP anti-invasão, tenta parar o processo de reconhecimento de terras indígenas em áreas onde ocorram ocupações. Essas áreas não seriam “objeto de estudo, delimitação, homologação, regularização ou criação de terras indígenas nos dois anos seguintes à sua ocupação”. E numa tacada só, a PEC prevê punição por “responsabilidade civil e administrativa” para o funcionalismo público que não seguir essa possível nova Lei.
PEC 45/2013;Blairo Maggi;BLAIRO MAGGI;;;;CPT;Desfavorável;Sim;Matéria com a Relatora;O ano de 2012 foi marcado por muitas ações indígenas para garantir seus territórios, por isso, essa PEC, inspirada pela MP anti-invasão, tenta parar o processo de reconhecimento de terras indígenas em áreas onde ocorram ocupações. Essas áreas não seriam “objeto de estudo, delimitação, homologação, regularização ou criação de terras indígenas nos dois anos seguintes à sua ocupação”. E numa tacada só, a PEC prevê punição por “responsabilidade civil e administrativa” para o funcionalismo público que não seguir essa possível nova Lei.
PEC 45/2013;Casildo Maldaner;CASILDO MALDANER;;;;CPT;Desfavorável;Sim;Matéria com a Relatora;O ano de 2012 foi marcado por muitas ações indígenas para garantir seus territórios, por isso, essa PEC, inspirada pela MP anti-invasão, tenta parar o processo de reconhecimento de terras indígenas em áreas onde ocorram ocupações. Essas áreas não seriam “objeto de estudo, delimitação, homologação, regularização ou criação de terras indígenas nos dois anos seguintes à sua ocupação”. E numa tacada só, a PEC prevê punição por “responsabilidade civil e administrativa” para o funcionalismo público que não seguir essa possível nova Lei.
PEC 45/2013;Cássio Cunha Lima;CÁSSIO CUNHA LIMA;;;;CPT;Desfavorável;Sim;Matéria com a Relatora;O ano de 2012 foi marcado por muitas ações indígenas para garantir seus territórios, por isso, essa PEC, inspirada pela MP anti-invasão, tenta parar o processo de reconhecimento de terras indígenas em áreas onde ocorram ocupações. Essas áreas não seriam “objeto de estudo, delimitação, homologação, regularização ou criação de terras indígenas nos dois anos seguintes à sua ocupação”. E numa tacada só, a PEC prevê punição por “responsabilidade civil e administrativa” para o funcionalismo público que não seguir essa possível nova Lei.
PEC 45/2013;Cícero Lucena;CÍCERO LUCENA;;;;CPT;Desfavorável;Sim;Matéria com a Relatora;O ano de 2012 foi marcado por muitas ações indígenas para garantir seus territórios, por isso, essa PEC, inspirada pela MP anti-invasão, tenta parar o processo de reconhecimento de terras indígenas em áreas onde ocorram ocupações. Essas áreas não seriam “objeto de estudo, delimitação, homologação, regularização ou criação de terras indígenas nos dois anos seguintes à sua ocupação”. E numa tacada só, a PEC prevê punição por “responsabilidade civil e administrativa” para o funcionalismo público que não seguir essa possível nova Lei.
PEC 45/2013;Clésio Andrade;CLÉSIO ANDRADE;;;;CPT;Desfavorável;Sim;Matéria com a Relatora;O ano de 2012 foi marcado por muitas ações indígenas para garantir seus territórios, por isso, essa PEC, inspirada pela MP anti-invasão, tenta parar o processo de reconhecimento de terras indígenas em áreas onde ocorram ocupações. Essas áreas não seriam “objeto de estudo, delimitação, homologação, regularização ou criação de terras indígenas nos dois anos seguintes à sua ocupação”. E numa tacada só, a PEC prevê punição por “responsabilidade civil e administrativa” para o funcionalismo público que não seguir essa possível nova Lei.
PEC 45/2013;Cyro Miranda;CYRO MIRANDA;;;;CPT;Desfavorável;Sim;Matéria com a Relatora;O ano de 2012 foi marcado por muitas ações indígenas para garantir seus territórios, por isso, essa PEC, inspirada pela MP anti-invasão, tenta parar o processo de reconhecimento de terras indígenas em áreas onde ocorram ocupações. Essas áreas não seriam “objeto de estudo, delimitação, homologação, regularização ou criação de terras indígenas nos dois anos seguintes à sua ocupação”. E numa tacada só, a PEC prevê punição por “responsabilidade civil e administrativa” para o funcionalismo público que não seguir essa possível nova Lei.
PEC 45/2013;Eunício Oliveira;EUNÍCIO OLIVEIRA;;;;CPT;Desfavorável;Sim;Matéria com a Relatora;O ano de 2012 foi marcado por muitas ações indígenas para garantir seus territórios, por isso, essa PEC, inspirada pela MP anti-invasão, tenta parar o processo de reconhecimento de terras indígenas em áreas onde ocorram ocupações. Essas áreas não seriam “objeto de estudo, delimitação, homologação, regularização ou criação de terras indígenas nos dois anos seguintes à sua ocupação”. E numa tacada só, a PEC prevê punição por “responsabilidade civil e administrativa” para o funcionalismo público que não seguir essa possível nova Lei.
PEC 45/2013;Flexa Ribeiro;FLEXA RIBEIRO;;;;CPT;Desfavorável;Sim;Matéria com a Relatora;O ano de 2012 foi marcado por muitas ações indígenas para garantir seus territórios, por isso, essa PEC, inspirada pela MP anti-invasão, tenta parar o processo de reconhecimento de terras indígenas em áreas onde ocorram ocupações. Essas áreas não seriam “objeto de estudo, delimitação, homologação, regularização ou criação de terras indígenas nos dois anos seguintes à sua ocupação”. E numa tacada só, a PEC prevê punição por “responsabilidade civil e administrativa” para o funcionalismo público que não seguir essa possível nova Lei.
PEC 45/2013;Francisco Dornelles;FRANCISCO DORNELLES;;;;CPT;Desfavorável;Sim;Matéria com a Relatora;O ano de 2012 foi marcado por muitas ações indígenas para garantir seus territórios, por isso, essa PEC, inspirada pela MP anti-invasão, tenta parar o processo de reconhecimento de terras indígenas em áreas onde ocorram ocupações. Essas áreas não seriam “objeto de estudo, delimitação, homologação, regularização ou criação de terras indígenas nos dois anos seguintes à sua ocupação”. E numa tacada só, a PEC prevê punição por “responsabilidade civil e administrativa” para o funcionalismo público que não seguir essa possível nova Lei.
PEC 45/2013;Ivo Cassol;IVO CASSOL;;;;CPT;Desfavorável;Sim;Matéria com a Relatora;O ano de 2012 foi marcado por muitas ações indígenas para garantir seus territórios, por isso, essa PEC, inspirada pela MP anti-invasão, tenta parar o processo de reconhecimento de terras indígenas em áreas onde ocorram ocupações. Essas áreas não seriam “objeto de estudo, delimitação, homologação, regularização ou criação de terras indígenas nos dois anos seguintes à sua ocupação”. E numa tacada só, a PEC prevê punição por “responsabilidade civil e administrativa” para o funcionalismo público que não seguir essa possível nova Lei.
PEC 45/2013;Jarbas Vasconcelos;JARBAS VASCONCELOS;;;;CPT;Desfavorável;Sim;Matéria com a Relatora;O ano de 2012 foi marcado por muitas ações indígenas para garantir seus territórios, por isso, essa PEC, inspirada pela MP anti-invasão, tenta parar o processo de reconhecimento de terras indígenas em áreas onde ocorram ocupações. Essas áreas não seriam “objeto de estudo, delimitação, homologação, regularização ou criação de terras indígenas nos dois anos seguintes à sua ocupação”. E numa tacada só, a PEC prevê punição por “responsabilidade civil e administrativa” para o funcionalismo público que não seguir essa possível nova Lei.
PEC 45/2013;João Vicente Claudino;JOÃO VICENTE CLAUDINO;;;;CPT;Desfavorável;Sim;Matéria com a Relatora;O ano de 2012 foi marcado por muitas ações indígenas para garantir seus territórios, por isso, essa PEC, inspirada pela MP anti-invasão, tenta parar o processo de reconhecimento de terras indígenas em áreas onde ocorram ocupações. Essas áreas não seriam “objeto de estudo, delimitação, homologação, regularização ou criação de terras indígenas nos dois anos seguintes à sua ocupação”. E numa tacada só, a PEC prevê punição por “responsabilidade civil e administrativa” para o funcionalismo público que não seguir essa possível nova Lei.
PEC 45/2013;José Agripino;JOSÉ AGRIPINO;;;;CPT;Desfavorável;Sim;Matéria com a Relatora;O ano de 2012 foi marcado por muitas ações indígenas para garantir seus territórios, por isso, essa PEC, inspirada pela MP anti-invasão, tenta parar o processo de reconhecimento de terras indígenas em áreas onde ocorram ocupações. Essas áreas não seriam “objeto de estudo, delimitação, homologação, regularização ou criação de terras indígenas nos dois anos seguintes à sua ocupação”. E numa tacada só, a PEC prevê punição por “responsabilidade civil e administrativa” para o funcionalismo público que não seguir essa possível nova Lei.
PEC 45/2013;Luiz Henrique;LUIZ HENRIQUE;;;;CPT;Desfavorável;Sim;Matéria com a Relatora;O ano de 2012 foi marcado por muitas ações indígenas para garantir seus territórios, por isso, essa PEC, inspirada pela MP anti-invasão, tenta parar o processo de reconhecimento de terras indígenas em áreas onde ocorram ocupações. Essas áreas não seriam “objeto de estudo, delimitação, homologação, regularização ou criação de terras indígenas nos dois anos seguintes à sua ocupação”. E numa tacada só, a PEC prevê punição por “responsabilidade civil e administrativa” para o funcionalismo público que não seguir essa possível nova Lei.
PEC 45/2013;Mário Couto;MÁRIO COUTO;;;;CPT;Desfavorável;Sim;Matéria com a Relatora;O ano de 2012 foi marcado por muitas ações indígenas para garantir seus territórios, por isso, essa PEC, inspirada pela MP anti-invasão, tenta parar o processo de reconhecimento de terras indígenas em áreas onde ocorram ocupações. Essas áreas não seriam “objeto de estudo, delimitação, homologação, regularização ou criação de terras indígenas nos dois anos seguintes à sua ocupação”. E numa tacada só, a PEC prevê punição por “responsabilidade civil e administrativa” para o funcionalismo público que não seguir essa possível nova Lei.
PEC 45/2013;Paulo Bauer;PAULO BAUER;;;;CPT;Desfavorável;Sim;Matéria com a Relatora;O ano de 2012 foi marcado por muitas ações indígenas para garantir seus territórios, por isso, essa PEC, inspirada pela MP anti-invasão, tenta parar o processo de reconhecimento de terras indígenas em áreas onde ocorram ocupações. Essas áreas não seriam “objeto de estudo, delimitação, homologação, regularização ou criação de terras indígenas nos dois anos seguintes à sua ocupação”. E numa tacada só, a PEC prevê punição por “responsabilidade civil e administrativa” para o funcionalismo público que não seguir essa possível nova Lei.
PEC 45/2013;Ricardo Ferraço;RICARDO FERRAÇO;;;;CPT;Desfavorável;Sim;Matéria com a Relatora;O ano de 2012 foi marcado por muitas ações indígenas para garantir seus territórios, por isso, essa PEC, inspirada pela MP anti-invasão, tenta parar o processo de reconhecimento de terras indígenas em áreas onde ocorram ocupações. Essas áreas não seriam “objeto de estudo, delimitação, homologação, regularização ou criação de terras indígenas nos dois anos seguintes à sua ocupação”. E numa tacada só, a PEC prevê punição por “responsabilidade civil e administrativa” para o funcionalismo público que não seguir essa possível nova Lei.
PEC 45/2013;Romero Jucá;ROMERO JUCÁ;;;;CPT;Desfavorável;Sim;Matéria com a Relatora;O ano de 2012 foi marcado por muitas ações indígenas para garantir seus territórios, por isso, essa PEC, inspirada pela MP anti-invasão, tenta parar o processo de reconhecimento de terras indígenas em áreas onde ocorram ocupações. Essas áreas não seriam “objeto de estudo, delimitação, homologação, regularização ou criação de terras indígenas nos dois anos seguintes à sua ocupação”. E numa tacada só, a PEC prevê punição por “responsabilidade civil e administrativa” para o funcionalismo público que não seguir essa possível nova Lei.
PEC 45/2013;Ruben Figueiró;RUBEN FIGUEIRÓ;;;;CPT;Desfavorável;Sim;Matéria com a Relatora;O ano de 2012 foi marcado por muitas ações indígenas para garantir seus territórios, por isso, essa PEC, inspirada pela MP anti-invasão, tenta parar o processo de reconhecimento de terras indígenas em áreas onde ocorram ocupações. Essas áreas não seriam “objeto de estudo, delimitação, homologação, regularização ou criação de terras indígenas nos dois anos seguintes à sua ocupação”. E numa tacada só, a PEC prevê punição por “responsabilidade civil e administrativa” para o funcionalismo público que não seguir essa possível nova Lei.
PEC 45/2013;Sérgio Petecão;SÉRGIO PETECÃO;;;;CPT;Desfavorável;Sim;Matéria com a Relatora;O ano de 2012 foi marcado por muitas ações indígenas para garantir seus territórios, por isso, essa PEC, inspirada pela MP anti-invasão, tenta parar o processo de reconhecimento de terras indígenas em áreas onde ocorram ocupações. Essas áreas não seriam “objeto de estudo, delimitação, homologação, regularização ou criação de terras indígenas nos dois anos seguintes à sua ocupação”. E numa tacada só, a PEC prevê punição por “responsabilidade civil e administrativa” para o funcionalismo público que não seguir essa possível nova Lei.
PEC 45/2013;Valdir Raupp;VALDIR RAUPP;;;;CPT;Desfavorável;Sim;Matéria com a Relatora;O ano de 2012 foi marcado por muitas ações indígenas para garantir seus territórios, por isso, essa PEC, inspirada pela MP anti-invasão, tenta parar o processo de reconhecimento de terras indígenas em áreas onde ocorram ocupações. Essas áreas não seriam “objeto de estudo, delimitação, homologação, regularização ou criação de terras indígenas nos dois anos seguintes à sua ocupação”. E numa tacada só, a PEC prevê punição por “responsabilidade civil e administrativa” para o funcionalismo público que não seguir essa possível nova Lei.
PEC 45/2013;Waldemir Moka;WALDEMIR MOKA;;;;CPT;Desfavorável;Sim;Matéria com a Relatora;O ano de 2012 foi marcado por muitas ações indígenas para garantir seus territórios, por isso, essa PEC, inspirada pela MP anti-invasão, tenta parar o processo de reconhecimento de terras indígenas em áreas onde ocorram ocupações. Essas áreas não seriam “objeto de estudo, delimitação, homologação, regularização ou criação de terras indígenas nos dois anos seguintes à sua ocupação”. E numa tacada só, a PEC prevê punição por “responsabilidade civil e administrativa” para o funcionalismo público que não seguir essa possível nova Lei.
PEC 45/2013;Zeze Perrella;ZEZE PERRELLA;;;;CPT;Desfavorável;Sim;Matéria com a Relatora;O ano de 2012 foi marcado por muitas ações indígenas para garantir seus territórios, por isso, essa PEC, inspirada pela MP anti-invasão, tenta parar o processo de reconhecimento de terras indígenas em áreas onde ocorram ocupações. Essas áreas não seriam “objeto de estudo, delimitação, homologação, regularização ou criação de terras indígenas nos dois anos seguintes à sua ocupação”. E numa tacada só, a PEC prevê punição por “responsabilidade civil e administrativa” para o funcionalismo público que não seguir essa possível nova Lei.
PEC 65/2012;Ana Amélia;ANA AMÉLIA;;;;ISA;Desfavorável;Sim;;
PEC 65/2012;Antonio Carlos Valadares;ANTONIO CARLOS VALADARES;;;;ISA;Desfavorável;Sim;;
PEC 65/2012;Armando Monteiro;ARMANDO MONTEIRO;;;;ISA;Desfavorável;Sim;;
PEC 65/2012;Casildo Maldaner;CASILDO MALDANER;;;;ISA;Desfavorável;Sim;;
PEC 65/2012;Cássio Cunha Lima;CÁSSIO CUNHA LIMA;;;;ISA;Desfavorável;Sim;;
PEC 65/2012;Cidinho Santos;CIDINHO SANTOS;;;;ISA;Desfavorável;Sim;;
PEC 65/2012;Clésio Andrade;CLÉSIO ANDRADE;;;;ISA;Desfavorável;Sim;;
PEC 65/2012;Cristovam Buarque;CRISTOVAM BUARQUE;;;;ISA;Desfavorável;Sim;;
PEC 65/2012;Cyro Miranda;CYRO MIRANDA;;;;ISA;Desfavorável;Sim;;
PEC 65/2012;Eduardo Amorim;EDUARDO AMORIM;;;;ISA;Desfavorável;Sim;;
PEC 65/2012;Eduardo Lopes;EDUARDO LOPES;;;;ISA;Desfavorável;Sim;;
PEC 65/2012;Eunício Oliveira;EUNÍCIO OLIVEIRA;;;;ISA;Desfavorável;Sim;;
PEC 65/2012;Humberto Costa;HUMBERTO COSTA;;;;ISA;Desfavorável;Sim;;
PEC 65/2012;Inácio Arruda;INÁCIO ARRUDA;;;;ISA;Desfavorável;Sim;;
PEC 65/2012;Jayme Campos;JAYME CAMPOS;;;;ISA;Desfavorável;Sim;;
PEC 65/2012;João Vicente Claudino;JOÃO VICENTE CLAUDINO;;;;ISA;Desfavorável;Sim;;
PEC 65/2012;Jorge Afonso Argello;JORGE AFONSO ARGELLO;;;;ISA;Desfavorável;Sim;;
PEC 65/2012;Lobão Filho;LOBÃO FILHO;;;;ISA;Desfavorável;Sim;;
PEC 65/2012;Marco Antonio;MARCO ANTONIO;;;;ISA;Desfavorável;Sim;;
PEC 65/2012;Mário Couto;MÁRIO COUTO;;;;ISA;Desfavorável;Sim;;
PEC 65/2012;Paulo Bauer;PAULO BAUER;;;;ISA;Desfavorável;Sim;;
PEC 65/2012;Romero Jucá;ROMERO JUCÁ;;;;ISA;Desfavorável;Sim;;
PEC 65/2012;Sérgio Petecão;SÉRGIO PETECÃO;;;;ISA;Desfavorável;Sim;;
PEC 65/2012;Sergio Souza;SERGIO SOUZA;;;;ISA;Desfavorável;Sim;;
PEC 65/2012;Vital do Rêgo;VITAL DO RÊGO;;;;ISA;Desfavorável;Sim;;
PEC 65/2012;Waldemir Moka;WALDEMIR MOKA;;;;ISA;Desfavorável;Sim;;
PEC 65/2012;Walter Pinheiro;WALTER PINHEIRO;;;;ISA;Desfavorável;Sim;;
PEC 65/2012;Wellington Dias;WELLINGTON DIAS;;;;ISA;Desfavorável;Sim;;
PEC 65/2012;Wilder Morais;WILDER MORAIS;;;;ISA;Desfavorável;Sim;;
PEC 65/2012;Zeze Perrella;ZEZE PERRELLA;;;;ISA;Desfavorável;Sim;;
PL 1197/2003;Fátima Bezerra;FÁTIMA BEZERRA;;;ISA;ISA;Favorável;;;
PL 1197/2003;Fernando Gabeira;FERNANDO GABEIRA;;;ISA;ISA;Favorável;;;
PL 2057/1991;Fábio Feldmann;FÁBIO FELDMANN;;;ISA;ISA;Indefinido;;;
PL 2057/1991;JOSE CARLOS SABOIA;JOSE CARLOS SABOIA;;;ISA;ISA;Indefinido;;;
PL 2057/1991;NELSON JOBIM;NELSON JOBIM;;;ISA;ISA;Indefinido;;;
PL 2057/1991;SIDNEY DE MIGUEL;SIDNEY DE MIGUEL;;;ISA;ISA;Indefinido;;;
PLS 48/2014;Vanessa Grazziotin;VANESSA GRAZZIOTIN;;;ISA;ISA;Favorável;Sim;;
PLS 90/2014 ;Cristovam Buarque;CRISTOVAM BUARQUE;;;ISA;ISA;Favorável;Sim;;
PLS 90/2014 ;Pedro Simon;PEDRO SIMON;;;ISA;ISA;Favorável;Sim;;
